no,question,answer_choices,answer,response,result
問1,カルシニューリンを阻害する免疫抑制薬はどれか。,"a  ミコフェノール酸モフェチル
b  タクロリムス
c  シクロスポリン
d  アザチオプリン
e  デキサメサゾン
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",3,3.0,True
問2,エルゴステロールに結合し細胞膜に小孔をつくることで薬理作用を示すのはどれか。,"１．フルシトシン
２．チアベンダゾール
３．イトラコナゾール
４．フェバンテル
５．アムホテリシン B",5,5.0,True
問3,疾患とその治療薬の組合せで適切なのはどれか。,"疾患　　　　　　　　　　　　　 　治療薬
１．胃潰瘍 ――――――――――――― イブプロフェン
２．気管支喘息 ――――――――――― テオフィリン
３．副腎皮質機能亢進症 ――――――― フルドロコルチゾン
４．甲状腺機能低下症 ―――――――― メチマゾール
５．緑内障 ――――――――――――― ブチルスコポラミン
1",2,2.0,True
問4,生理活性物質およびその関連薬に関する記述として誤っているのはどれか。,"１．5－HT3 受容体拮抗薬であるグラニセトロンは制吐薬として使用する。
２．硝酸イソソルビドは一酸化窒素（NO）を放出して平滑筋を弛緩させる。
３．アンジオテンシンⅡ受容体拮抗薬のカンデサルタンは心不全に使用する。
４．ブラジキニンの作用はプロスタグランジン E2 により増強される。
５．トロンボキサン A2 はリポキシゲナーゼ代謝経路を経て生成される。",5,5.0,True
問5,牛の創傷性心外膜炎と関連のある病変・病態として最も適当なのはどれか。,"１．心タンポナーデ
２．うっ血性心不全
３．心内膜の逆流性病変
４．虎斑心
５．真珠病",2,4.0,False
問6,マレック病に関する記述として適当なのはどれか。,"a  末梢神経線維の腫脹がみられる。
b  B リンパ球由来のリンパ腫である。
c  大型リンパ球の均一な腫瘍性増殖がみられる。
d  ファブリキウス囊において腫瘍細胞はリンパ濾胞内に増殖する。
e  原因ウイルスの封入体は羽包上皮細胞核内に出現する。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
2",2,3.0,False
問7,豚で欠乏すると皮膚に錯角化症（不全角化症）を起こす物質はどれか。,"１．鉄
２．銅
３．亜鉛
４．ビタミン B1
５．ビタミン E",3,3.0,True
問8,兎出血病に関する記述として正しいのはどれか。,"１．病原体はフラビウイルス科に属する。
２．感染経路は節足動物による生物学的伝播である。
３．主に 2 か月齢未満のウサギが発症する。
４．「家畜伝染病予防法」における家畜伝染病に指定されている。
５．我が国では 1994 年以降散発的に発生している。",5,4.0,False
問9,クラミジアによる疾患はどれか。,"a  牛肺疫
b  Q 熱
c  オウム病
d  流行性羊流産
e  仮性皮疽
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
3",4,3.0,False
問10,トリ白血病・肉腫（鶏白血病）に関する記述として適切なのはどれか。,"１．病原ウイルスは血清学的に単一である。
２．垂直感染しない。
３．増殖欠損型ウイルスは宿主がん遺伝子由来のがん遺伝子を持つ。
４．増殖非欠損型ウイルスは腫瘍を起こさない。
５．ワクチンを用いた予防が行われている。",3,5.0,False
問11,衛星現象を示す病原体による疾患はどれか。,"a  グレーサー病
b  伝染性コリーザ
c  腺疫
d  牛の出血性敗血症
e  ライム病
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",1,3.0,False
問12,レオウイルス科のウイルスによる感染症はどれか。,"a  アフリカ馬疫
b  馬伝染性貧血
c  悪性カタル熱
d  ボーダー病
e  ロタウイルス病
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
4",2,4.0,False
問13,121℃、15 分間のオートクレーブ処理で不活化されないはどれか。,"病原体による感染症
１．結核
２．スクレイピー
３．マエディ・ビスナ
４．エクトロメリア
５．鼻疽",2,2.0,True
問14,毒素に関する記述として誤っているのはどれか。,"１．内毒素の化学組成はリポ多糖である。
２．外毒素はホルマリンでトキソイド化される。
３．ボツリヌス毒素は神経毒である。
４．黄色ブドウ球菌のエンテロトキシンは易熱性である。
５．Aspergillus ﬂavus が産生する毒素は肝細胞癌を誘発する。",4,4.0,True
問15,みつばちの真菌感染症はどれか。,"１．アメリカ腐蛆病
２．ヨーロッパ腐蛆病
３．チョーク病
４．ノゼマ症
５．バロア症
5","3,4",3.0,True
問16,ウサギのエンセファリトゾーン症またはその病原体に関する記述として適切なのはどれか。,"１．犬にも感染する。
２．主症状は水様下痢である。
３．栄養型虫体は鞭毛をもつ。
４．大部分が顕性感染である。
５．胞子が感染動物の糞便中に排出される。",1,5.0,False
問17,犬の多包条虫症あるいはその病原体に関する記述として適切なのはどれか。,"a  プレパテントピリオドは約 50 日間である。
b  駆虫にはプラジクアンテルが有効である。
c  虫卵の形態観察による種の同定は困難である。
d  「家畜伝染病予防法」の届出伝染病に指定されている。
e  適切な治療が遅れると致死的である。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",3,3.0,True
問18,我が国の令和 3 年における食中毒統計で最も事件数の多かった細菌性食中毒の病因物質（原因菌）はどれか。,"１．ボツリヌス菌
２．ウェルシュ菌
３．カンピロバクター・ジェジュニ / コリ
４．腸管出血性大腸菌
５．ナグビブリオ
6",3,3.0,True
問19,残留性有機汚染物質の製造および使用の廃絶、削減に関する条約はどれか。,"１．バーゼル条約
２．ウィーン条約
３．ワシントン条約
４．ストックホルム条約
５．ラムサール条約",4,4.0,True
問20,主に馬との接触によりヒトに伝播する人獣共通感染症はどれか。,"a  鼻疽
b  類鼻疽
c  アフリカ馬疫
d  馬パラチフス
e  ヘンドラウイルス感染症
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",2,2.0,True
問21,食品の微生物汚染またはその制御に関する記述として適切なのはどれか。,"１．食品の貯蔵、加工、調理の過程における微生物汚染を一次汚染という。
２．食品の水分活性が低いほど細菌による腐敗は抑制される。
３．硫化水素は微生物によるデンプンの分解で発生する。
４．紫外線照射によって食品内部を殺菌できる。
５．我が国では放射線照射による香辛料の殺菌が認められている。
7",2,,
問22,食品内で生成された毒素によって引き起こされる食中毒の原因菌はどれか。,"１．ボツリヌス菌
２．カンピロバクター
３．腸炎ビブリオ
４．腸管出血性大腸菌
５．ウェルシュ菌",1,1.0,True
問23,ヒ素に関する記述として適切なのはどれか。,"１．イタイイタイ病の原因物質である。
２．生物濃縮によって生態系の上位に位置する生物種で高濃度に蓄積される。
３．腐食した水道管からの溶出による水道水汚染が問題となっている。
４．有機ヒ素化合物は無機ヒ素化合物よりも毒性が強い。
５．バングラデシュ、インドおよび中国では井戸水汚染が深刻である。",5,5.0,True
問24,生食用食肉の成分規格項目はどれか。,"１．一般細菌数
２．腸内細菌科菌群
３．大腸菌群
４．E. coli
５．サルモネラ属菌
8",2,,
問25,食品添加物と我が国で規定されている用途の組合せとして正しいのはどれか。,"食品添加物　　　　　　　　　　　　用途
１．サッカリン ―――――――――――― 防かび剤
２．ソルビン酸 ―――――――――――― 酸化防止剤
３．イマザリル ―――――――――――― 甘味料
４． L－アスコルビン酸（ビタミン C）―― 保存料
５．亜硝酸ナトリウム ――――――――― 発色剤",5,5.0,True
問26,主にシラミによって媒介される感染症はどれか。,"１．発疹チフス
２．日本紅斑熱
３．野兎病
４．発疹熱
５．黄熱",1,1.0,True
問27,日本脳炎に関する記述として適切なのはどれか。,"１．ヒトの重症例では出血熱がみられる。
２．馬が増幅動物である。
３．血液からの病原体分離により診断する。
４．我が国では毎年、豚の抗体陽性率の調査によって流行が予測されている。
５．我が国では予防対策としてヒトに弱毒生ワクチンが接種されている。
9",4,4.0,True
問28,ヒトが豚の生肉または加熱不十分な肉を摂取することで発生する人獣共通感染症として誤っているのはどれか。,"１．日本住血吸虫症
２．有鉤条虫症・有鉤囊虫症
３．旋毛虫症
４．トキソプラズマ症
５． E 型肝炎",1,1.0,True
問29,結核に関する記述として適切なのはどれか。,"１．「感染症の予防及び感染症の患者に対する医療に関する法律」によって罹患
した牛を診断した獣医師には届出義務が生じる。
２．我が国の 2021 年における罹患率（人口 10 万人対）は 20 を超えている。
３．牛型結核菌は主に経口感染でヒトへ伝播する。
４．ヒト型結核菌はヒトのみに感染する。
５．我が国では罹患牛に対して抗結核薬を用いた治療が行われる。",3,3.0,True
問30,ごみ焼却場でプラスチックの不完全燃焼によって生成された環境汚染物質はどれか。,"１．ジクロロジフェニルトリクロロエタン（DDT）
２．ダイオキシン類
３．トリハロメタン
４．ポリ塩化ビフェニル（PCB）
５．テトラクロロエチレン
10",2,2.0,True
問31,医療関係機関等から発生する感染性一般廃棄物はどれか。,"１．凝固血液
２．血液検査に使用したガラス製試験管
３．血液の付着したガーゼ
４．使用済みの注射針
５．腸管出血性大腸菌の分離に用いたプラスチック製シャーレ",3,,
問32,土壌汚染に関する記述として誤っているのはどれか。,"１．汚染の範囲は限定的であることが多い。
２．揮発性有機化合物は土壌の表層にとどまりやすい。
３．大気や水と比較して汚染物質の拡散や希釈が起こりにくい。
４．比重の大きい汚染物質は土壌の深層まで達しやすい。
５．土壌の深層まで達しやすい汚染物質は地下水汚染を引き起こす可能性が高い。",2,2.0,True
問33,コホート研究に関する記述として正しいのはどれか。,"a  本研究を用いて仮説を設定する。
b  しばしば集団レベルの曝露と疾病の関係が個体に当てはまらない。
c  因子への曝露群と非曝露群を追跡し疾病の発生数を比較する。
d  曝露と疾病との関連性の指標に相対リスクを用いる。
e  思い出しバイアスの影響を強く受ける。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
11",4,4.0,True
問34,肥育中期から後期の肉牛におけるビタミン A 欠乏によって現れやすい疾患はどれか。,"a  夜盲症
b  くる病
c  白筋症
d  くわず病
e  尿石症
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",2,1.0,False
問35,枝肉の格付けのために行われる肉質等級の判断基準に含まれないのはどれか。,"１．肉の色沢
２．胸最長筋面積
３．脂肪交雑
４．脂肪の色沢と質
５．肉の締まりおよびきめ",2,2.0,True
問36,エンベロープを持たないウイルスに有効な消毒薬はどれか。,"１．クロルヘキシジン
２．ホルムアルデヒド
３．クレゾール石鹸
４．両性界面活性剤
５．第 4 級アンモニウム塩
12",2,5.0,False
問37,慎重使用の観点から、獣医師が抗菌剤を使用する際に留意すべきことに関する記述として適当でないのはどれか。,"１．動物用医薬品として承認された用法・用量を遵守する。
２．可能な限り、抗菌スペクトルの広いものを選択する。
３．ヒト用の抗菌剤の使用は極力避ける。
４．薬剤感受性試験に基づいて適切なものを選択する。
５．第 3 世代セファロスポリン系抗菌剤は他の抗菌剤が無効な場合のみに使用す
る。",2,2.0,True
問38,敏感度と特異度の異なる複数の検査法から精度の高いものを選ぶ際に用いるのはどれか。,"１．カッパの係数
２．相対リスク
３．有病率
４．t 検定
５．ROC 曲線",5,5.0,True
問39,犬で高カルシウム血症の原因となる疾患はどれか。,"a  甲状腺機能低下症
b  ビタミン A 中毒
c  上皮小体機能亢進症
d  副腎皮質機能低下症
e  慢性肝炎
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
13",4,3.0,False
問40,免疫介在性溶血性貧血を示唆する検査所見はどれか。,"a  ハインツ小体
b  有棘赤血球
c  標的赤血球
d  球状赤血球
e  赤血球凝集
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",5,2.0,False
問41,犬の腸リンパ管拡張症の栄養管理として最も適切なのはどれか。,"１．可溶性繊維を多給する。
２．加水分解蛋白食を与える。
３．食餌中の脂肪制限を行う。
４．ラクツロースの添加を行う。
５．マグネシウムやリンを制限する。",3,3.0,True
問42,犬において緑内障を悪化させる薬物はどれか。,"１．アトロピン
２．アセタゾラミド
３．マンニトール
４．ピロカルピン
５．ラタノプロスト
14",1,1.0,True
問43,犬の白内障に関する記述として正しいのはどれか。,"a  角膜の白濁が原因である。
b  初期治療にはチモロールマレイン酸が用いられる。
c  糖尿病罹患動物で好発する。
d  外科的治療として水晶体摘出術が行われる。
e  ホルネル症候群が約半数の症例でみられる。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4,4.0,True
問44,犬の甲状腺機能低下症でみられる臨床所見として適当でないのはどれか。,"１．活動性低下
２．体重減少
３．徐脈
４．低体温
５．脱毛",2,2.0,True
問45,犬でインスリノーマが引き起こす低血糖の治療に用いる薬剤はどれか。,"１．プレドニゾロン
２．レボチロキシン
３．シクロスポリン
４．トリロスタン
５．アカルボース（α－グルコシダーゼ阻害薬）
15",1,1.0,True
問46,犬の組織球系腫瘍に関する記述として誤っているのはどれか。,"１．皮膚組織球腫は若齢犬で発生することが多い。
２．バーニーズ・マウンテン・ドッグは組織球性肉腫の好発犬種である。
３．組織球性肉腫は関節、肺、骨に原発巣を作る。
４．血球貪食性組織球性肉腫は緩徐に進行する。
５．皮膚組織球症は非腫瘍性の反応性病変である。",4,4.0,True
問47,雄犬の高エストロジェン血症でみられる外貌の変化はどれか。,"a  包皮下垂
b  脱毛部皮膚の色素脱失
c  頭部と四肢端の脱毛
d  陰茎の肥大
e  雌性化乳房
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",2,2.0,True
問48,遺伝性疾患はどれか。,"１．進行性網膜萎縮症
２．網膜剥離
３．乾性角結膜炎
４．核硬化症
５．ホルネル症候群
16",1,1.0,True
問49,肉芽腫性髄膜脳脊髄炎に関する記述として適切なのはどれか。,"a  若齢のパグに好発する。
b  臨床的に眼型、巣状型、播種型に分類される。
c  治療には主に免疫抑制量のコルチコステロイドが用いられる。
d  大脳皮質の壊死を特徴とする。
e  発熱と C 反応性蛋白の上昇が認められる。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",3,3.0,True
問50,獣医療の Evidence - based medicine（EBM）におけるエビデンスの説明として適切なのはどれか。,"a  薬剤の作用機序など科学的背景のことである。
b  問題志向型システムに従って作成された獣医療記録のことである。
c  臨床試験の成績のことである。
d  臨床試験の成績は、そのデザインによってエビデンスレベルが決められる。
e  書面で保存された飼い主への説明と同意のことである。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4,4.0,True
問51,苔癬化に関する記述として適切なのはどれか。,"１．原発疹に含まれる。
２．硝子圧検査で消退する。
３．Ⅰ型アレルギーによって生じる。
４．真皮に達する皮膚の欠損である。
５．皮膚の慢性肥厚と硬化をいう。
17",5,5.0,True
問52,犬の喉頭麻痺に関する記述として適切なのはどれか。,"１．吸気時に喘鳴音がみられる。
２．副腎皮質機能亢進症に続発することが多い。
３．短頭種で好発する。
４．鎮咳薬により臨床徴候が改善する。
５．軟口蓋切除術で治療する。",1,1.0,True
問53,牛の多発性肝膿瘍の原因となる疾患・病態はどれか。,"a  第一胃鼓脹症
b  亜急性第一胃アシドーシス
c  臍帯炎
d  第三胃食滞
e  第四胃捻転
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",3,1.0,False
問54,牛の第四胃右方変位の治療法として適切でないのはどれか。,"１．高張食塩液の輸液
２．起立位右けん部切開・大網固定法
３．仰臥位傍正中切開・第四胃固定法
４．牛体回転整復法
５．バー・スーチャー法（びんつり法）
18","4,5",1.0,True
問55,馬の疝痛の原因となりうる寄生虫はどれか。,"a  単包条虫
b  指状糸状虫
c  普通円虫
d  馬回虫
e  馬肺虫
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4,5.0,False
問56,子牛の中耳炎に関する記述として適当なのはどれか。,"ａ　肺炎を併発することが多い。
ｂ　血液検査では好中球が増加する。
ｃ　主な原因菌は Trueperella pyogenes である。
ｄ　初期徴候として旋回運動と眼球振盪が特徴である。
ｅ　ワクチンにより予防できる。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",1,4.0,False
問57,腹部 X 線検査でコントラストが低下する原因はどれか。,"a  幼若
b  腹膜炎
c  肥満
d  脱水
e  腹腔内の遊離ガス
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
19",1,4.0,False
問58,腹大動脈血栓の画像所見として適当なのはどれか。,"a  単純 X 線検査では血栓が形成された遠位の血管が拡張したものが観察される。
b  超音波検査では血栓は無エコーな領域として描出される。
c  超音波ドプラ検査で血管内の血流がない領域として観察される。
d  造影 CT 検査では血栓は血管内の陰影欠損領域として観察される。
e  MRI 検査ではガドリニウム造影剤で高信号に増強される。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4,4.0,True
問59,犬の異所性尿管に関する記述として適当なのはどれか。,"a  雄で多い。
b  逆行性膀胱造影により診断する。
c  尿路感染症を合併する。
d  尿道以外にも開口する。
e  排尿困難が主症状である。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4,4.0,True
問60,犬の骨肉腫に関する記述として適切なのはどれか。,"１．原発性骨腫瘍の 50％が骨肉腫である。
２．X 線検査で確定診断できる。
３．初診時に単純 X 線検査で肺転移が検出される症例は 30% 以下である。
４．前肢では肘関節付近での発生が多い。
５．多くが断脚術で完治できる。
20",3,3.0,True
問61,犬の肛門囊アポクリン腺癌に関する記述として正しいのはどれか。,"a  未去勢雄で好発する。
b  高カルシウム血症を示すことがある。
c  腰下リンパ節への転移が生じる。
d  ドキソルビシンが著効する。
e  転移病変に対する外科治療は適応外である。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",3,3.0,True
問62,猫の乳腺腫瘍に関する記述として正しいのはどれか。,"a  早期の避妊手術により予防できる。
b  外科手術が推奨される。
c  しばしば高γグロブリン血症となる。
d  70～90％が良性である。
e  肺転移はまれである。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",1,1.0,True
問63,寛骨臼骨折整復手術において損傷に注意すべき神経はどれか。,"１．陰部神経
２．大腿神経
３．坐骨神経
４．閉鎖神経
５．前殿神経
21",3,3.0,True
問64,骨折のソルターハリス分類で成長板の圧迫を特徴とするのはどれか。,"１．I 型
２．II 型
３．III 型
４．IV 型
５．V 型",5,5.0,True
問65,犬の離断性骨軟骨症の好発部位として適当でないのはどれか。,"１．肩関節
２．肘関節
３．膝関節
４．足根関節
５．股関節",5,5.0,True
