no,question,answer_choices,answer
問1,イマチニブの作用機序はどれか。,"１．抗エストロジェン作用
２．チロシンキナーゼ阻害作用
３．アスパラギンの加水分解作用
４．DNA 複製阻害作用
５．RNA ポリメラーゼ活性の阻害作用",2
問2,ホスホジエステラーゼを阻害する気管支喘息の治療薬はどれか。,"１．テルブタリン
２．オザグレル
３．テオフィリン
４．イプラトロピウム
５．クロモグリク酸ナトリウム",3
問3,催吐薬はどれか。,"a  エメチン
b  メトクロプラミド
c  マロピタント
d  オンダンセトロン
e  アポモルヒネ
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
1",2
問4,犬において飼い主と離れることで生じる分離不安症に用いられる治療薬はどれか。,"１．クロミプラミン
２．ペチジン
３．アモバルビタール
４．キシラジン
５．プロポフォール",1
問5,血小板 ADP 受容体（P2Y12）に作用する血小板凝集抑制薬はどれか。,"a  オザグレル
b  アスピリン
c  チクロピジン
d  クロピドグレル
e  シロスタゾール
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4
問6,腎細胞癌で随伴することのある病態はどれか。,"１．ゾリンジャー・エリソン症候群
２．高血圧
３．重症筋無力症
４．血液凝固障害
５．多血症
2","4,5"
問7,くる病と骨軟化症に関する記述として適当でないのはどれか。,"１．両疾患とも破骨細胞性骨吸収の亢進がみられる。
２．くる病は成長板のある若齢動物に発生する。
３．くる病では成長板に軟骨と類骨が蓄積する。
４．骨軟化症では皮質骨のハバース管周囲に類骨が蓄積する。
５．骨軟化症では海綿骨の骨梁周囲に類骨が蓄積する。",1
問8,肥大型心筋症について正しいのはどれか。,"a  心筋線維は細長く波状となる。
b  猫に多い。
c  腹大動脈血栓塞栓症による後躯麻痺が高率にみられる。
d  高泌乳量の分娩前後の若い牛に多発する。
e  心内膜下心筋に著明な線維化が認められる。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",3
問9,DNA ウイルスによる疾患はどれか。,"a  猫カリシウイルス感染症
b  猫伝染性腹膜炎
c  猫免疫不全ウイルス感染症
d  猫汎白血球減少症
e  猫ウイルス性鼻気管炎
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
3",5
問10,ノロウイルスと同じウイルス科に属する病原体による疾患はどれか。,"１．ウサギ粘液腫
２．ウサギウイルス性出血病
３．センダイウイルス病
４．ミンクアリューシャン病
５．あひるウイルス性腸炎",2
