no,question,answer_choices,answer
問1,犬のフィラリア症の予防薬はどれか。,"a  チアベンダゾール
b  ビチオノール
c  ミルベマイシンオキシム
d  イベルメクチン
e  プラジクアンテル
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4
問2,緑内障の治療薬はどれか。,"１．アセタゾラミド
２．ゲンタマイシン
３．アトロピン
４．硝酸イソソルビド
５．ビタミン A","1,2"
問3,非麻薬性の中枢性鎮咳薬はどれか。,"１．デキストロメトルファン
２．サルブタモール
３．アセチルシステイン
４．ブプレノルフィン
５．オキシメテバノール
1",1
問4,有機リン系殺虫剤による中毒の治療薬はどれか。,"a  ネオスチグミン
b  アトロピン
c  プラリドキシム（PAM）
d  ベタネコール
e  D - ペニシラミン
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",3
問5,子宮収縮薬はどれか。,"a  リトドリン
b  インドメタシン
c  エルゴメトリン
d  オキシトシン
e  硫酸マグネシウム
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4
問6,神経細胞の中心性色質融解を特徴とする疾患はどれか。,"１．ニューカッスル病
２．鶏脳軟化症
３．マレック病
４．高病原性鳥インフルエンザ
５．鶏脳脊髄炎
2",5
問7,肝臓の小葉中心性脂肪変性の原因として適当なのはどれか。,"a  飢餓
b  高脂肪食
c  四塩化炭素中毒
d  低酸素症
e  蛋白欠乏食
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4
問8,豚の腸腺腫症候群に関する記述として適切なのはどれか。,"a  病原体はワーチン・スターリー染色で観察される。
b  陰窩細胞が重層化しつつ増殖する。
c  小腸絨毛の伸長が著しい。
d  脳脊髄血管症により死亡することがある。
e  慢性の病型では腺腫が多発する。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",1
問9,豚丹毒とその原因菌に関する記述として適切でないのはどれか。,"１．グラム陰性芽胞形成桿菌である。
２．TSI 寒天培地で硫化水素を産生する。
３．強毒株には莢膜様構造物が認められる。
４．主な原因菌は Erysipelothrix rhusiopathiae である。
５．ヒトに感染すると類丹毒を発症する。
3",1
問10,抗菌薬の膜透過性を減少させることにより細菌が耐性を獲得するメカニズムはどれか。,"１．ポーリンの増加
２．ポーリンの減少
３．ポーリンの活性化
４．薬物排出ポンプの増加
５．薬物排出ポンプの減少",2
問11,ヘルペスウイルス科に属さないウイルスによる疾患はどれか。,"１．鶏伝染性喉頭気管炎
２．馬鼻肺炎
３．マレック病
４．B ウイルス感染症
５．牛乳頭腫",5
問12,馬のアスペルギルス症の主な症状はどれか。,"１．乳房炎
２．下痢
３．死産
４．腹膜炎
５．喉囊炎
4",5
問13,細胞膜表面で成熟して放出されるウイルスの 1 段階増殖曲線についての記述として正しいのはどれか。,"１．暗黒期がない。
２．潜伏期がない。
３．暗黒期にウイルス粒子が放出される。
４．暗黒期と潜伏期が一致しない。
５．暗黒期と潜伏期が一致する。",5
問14,弱毒生ワクチンに関する記述として適当なのはどれか。,"１．移行抗体による干渉を受けやすい。
２．アジュバントの添加を必要とする。
３．細胞性免疫を誘導しない。
４．不活化ワクチンに比べて多量の抗原を投与する必要がある。
５．不活化ワクチンに比べて免疫持続期間は短い。",1
問15,ウイルス性疾患の治療薬とその作用に関する組合せとして適切なのはどれか。,"治療薬　　　　　　　　　  　　　作用
１．アシクロビル　　　　　　――― プロテアーゼ阻害
２．オセタミビル（タミフル）――― ノイラミニダーゼ阻害
３．アマンタジン　　　　　　――― RNA 合成阻害
４．ジドブジン（AZT）　 　　――― プロテアーゼ阻害
５．リバビリン　　　　 　　――― プロテインキナーゼ阻害
5",2
問16,オーエスキー病に関する記述のうち正しいのはどれか。,"１．我が国では 2018 年に清浄化された。
２．原因ウイルスはカリシウイルス科に属する。
３．妊娠豚が感染すると高率に流死産が起こる。
４．「家畜伝染病予防法」により発症した豚はすべて殺処分される。
５．犬では不顕性感染に終わる。",3
問17,感染すると運動失調を伴う神経症状を引き起こす病原体はどれか。,"１．Theileria orientalis
２．Babesia bovis
３．Babesia ovata
４．Theileria parva
５．Anaplasma marginale",2
